"id","created_at","updated_at","deleted_at","deletedTracker","published_at","locale_name","default_entity_locale_id","organization_name","created_by_id","updated_by_id","bid_plus_gem_portal_ministry_master_id_id"
2631,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MINISTRY OF NEW AND RENEWABLE ENERGY,,,2630
3350,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,KONKAN LNG LIMITED,,,2640
2632,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NATIONAL INSTITUTE OF WIND ENERGY,,,2630
2638,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,SOLAR ENERGY CORPORATION OF INDIA LIMITED,,,2630
2639,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,SSS NATIONAL INSTITUTE OF BIO ENERGY,,,2630
3355,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,M/S GREEN GAS LIMITED,,,2640
3254,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL- DIGBOI REFINERY,,,2640
3938,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ENERGY EFFICIENCY SERVICES LIMITED,,,3765
3840,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BHARATIYA RAIL BIJLEE COMPANY LIMITED,,,3765
3691,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN MARITIME UNIVERSITY,,,3619
3093,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HPCL RAJASTHAN REFINERY LIMITED,,,2640
3702,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN PORT RAIL AND ROPEWAY CORPORATION LIMITED,,,3619
3108,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HPCL RENEWABLE AND GREEN ENERGY LTD,,,2640
3111,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN INSTITUTE OF PETROLEUM AND ENERGY,,,2640
2903,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ENGINEERS INDIA LIMITED,,,2640
3269,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL- ERPL,,,2640
3704,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INLAND WATERWAYS AUTHORITY OF INDIA (IWAI),,,3619
3276,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL- NRPL,,,2640
3493,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OIL AND NATURAL GAS CORPORATION LIMITED,,,2640
3407,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,,,2640
2929,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,GAIL GAS LIMITED,,,2640
2990,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,GAIL MANGALORE PETROCHEMICALS LIMITED,,,2640
4046,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NORTH EASTERN ELECTRIC POWER CORPORATION LIMITED,,,3765
3598,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,RESEARCH & DEVELOPMENT CENTRE (MATERIALS DEPARTMENT),,,2640
3471,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NUMALIGARH REFINERY LIMITED,,,2640
3968,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NHDC LIMITED,,,3765
3163,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDRADHANUSH GAS GRID LIMITED GUWAHATI,,,2640
3213,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL,,,2640
3743,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,THE SHIPPING CORPORATION OF INDIA LIMITED,,,3619
3751,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,TUTICORIN PORT TRUST,,,3619
3612,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,THE RAJIV GANDHI INSTITUTE OF PETROLEUM TECHNOLOGY (RGIPT) RAE BARELI UTTAR PRADESH,,,2640
2640,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BALMER LAWRIE AND COMPANY LIMITED,,,2640
3618,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,VISAKHAPATNAM PORT LOGISTICS PARK LIMITED,,,2640
3619,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ANDAMAN LAKSHADWEEP HARBOUR WORKS (ALHW),,,3619
3622,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CHENNAI PORT TRUST,,,3619
3623,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,COCHIN PORT TRUST,,,3619
2687,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BHARAT PETROLEUM CORPORATION LTD,,,2640
2787,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BHARAT PETRORESOURCES LIMITED,,,2640
3753,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,UDUPI COCHIN SHIPYARD LIMITED,,,3619
3705,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,JAWAHARLAL NEHRU PORT TRUST,,,3619
3718,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,KANDLA PORT TRUST,,,3619
3625,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,COCHIN SHIPYARD LTD,,,3619
3942,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,GRID CONTROLLER OF INDIA LIMITED,,,3765
3947,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,KANTI BIJLEE UTPADAN NIGAM LIMITED,,,3765
3719,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,KOLKATA PORT TRUST,,,3619
2788,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BRAHMAPUTRA CRACKER AND POLYMER LIMITED,,,2640
2801,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CERTIFICATION ENGINEERS INTERNATIONAL LIMITED,,,2640
3214,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL BONGAIGAON REFINERY,,,2640
3112,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIAN OIL CORPORATION LIMITED,,,2640
3162,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,INDIANOIL UPSTREAM VENTURES LIMITED FORMERLY MPL,,,2640
3723,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MORMUGAO PORT TRUST,,,3619
3854,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BOKARO POWER SUPPLY COMPANY PRIVATE LIMITED,,,3765
2940,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,GAIL INDIA LIMITED,,,2640
2802,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CHENNAI PETROLEUM CORPORATION LIMITED,,,2640
2902,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE GENERAL OF HYDROCARBONS (DGH) NOIDA,,,2640
3357,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MANGALORE REFINERY & PETROCHEMICALS LIMITED,,,2640
3040,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HINDUSTAN PETROLEUM CORPORATION LTD,,,2640
3790,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,BHAKRA BEAS MANAGEMENT BOARD,,,3765
3090,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HPCL LNG LIMITED,,,2640
3239,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL BUSINESS DEVELOPMENT,,,2640
3250,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL MARKETING IOAODSO DIMAPUR LPG BP,,,2640
3251,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL MARKETING UPSO II MEERUT TERMINAL,,,2640
3252,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL MARKETTING RSO BHARATPUR TERMINAL,,,2640
3253,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL RAJASTHAN STATE OFFICE LPG,,,2640
3672,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE GENERAL OF LIGHTHOUSES AND LIGHTSHIPS,,,3619
3686,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE GENERAL OF SHIPPING,,,3619
3279,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL- PANIPAT REFINERY,,,2640
3687,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DIRECTORATE GENERAL OF SHIPPING MUMBAI,,,3619
3755,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,VISAKHAPATNAM PORT TRUST (VPT),,,3619
3689,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DREDGING CORPORATION OF INDIA LIMITED,,,3619
3690,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,HCSL,,,3619
3329,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL- PLHO,,,2640
3335,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL- SERPL,,,2640
3726,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MUMBAI PORT TRUST,,,3619
3338,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL- SRPL,,,2640
3420,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MARKETING DIVISION,,,2640
3470,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MUMBAI AVIATION FUEL FARM FACILITY PRIVATE LIMITED,,,2640
3733,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NEW MANGALORE PORT AUTHORITY,,,3619
3543,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,OIL INDIA LIMITED,,,2640
3341,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,IOCL- WRPL,,,2640
3948,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,KIRU HEP CVPPPL,,,3765
3765,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,ARAVALI POWER COMPANY PRIVATE LIMITED,,,3765
3593,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,PETRONET MHB LIMITED,,,2640
3863,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CENTRAL POWER RESEARCH INSTITUTE (CPRI) BANGALORE KARNATAKA,,,3765
3735,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,PARADIP PORT AUTHORITY,,,3619
3742,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,SEAMENS PROVIDENT FUND ORGANISATION,,,3619
3897,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CENTRAL TRANSMISSION UTILITY OF INDIA LIMITED,,,3765
3898,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,CHENAB VALLEY POWER PROJECTS PVT LTD,,,3765
4062,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NORTH EASTERN REGIONAL POWER COMMITTEE,,,3765
3996,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NHPC LIMITED,,,3765
3950,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,MEJA URJA NIGAMPLIMITED,,,3765
3900,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,DAMODAR VALLEY CORPORATION,,,3765
4187,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,PAKAL DUL HE PROJECT CVPP,,,3765
4117,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NTPC RENEWABLE ENERGY LIMITED,,,3765
4063,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NTPC GREEN ENERGY LIMITED,,,3765
4067,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NTPC LIMITED,,,3765
4123,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NTPC SAIL POWER COMPANY LTD,,,3765
4173,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,NTPC TAMILNADU ENERGY COMPANY LTD,,,3765
4289,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,POWER FINANCE CORPORATION LIMITED,,,3765
4237,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,PATRATU VIDYUT UTPADAN NIGAM LIMITED,,,3765
4293,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,POWER GRID CORPORATION OF INDIA LIMITED,,,3765
4343,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,POWERGRID ENERGY SERVICES LTD,,,3765
4359,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,RATLE HYDROELECTRIC POWER CORPORATION LIMITED,,,3765
4344,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,POWERGRID TELESERVICES LIMITED,,,3765
4360,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,RATNAGIRI GAS AND POWER PRIVATE LIMITED,,,3765
4365,2025-11-13 16:52:45.770,2025-11-13 16:52:45.770,,not-deleted,,,,RURAL ELECTRIFICATION CORPORATION LIMITED,,,3765
